PM10 TEMP_MEAN H_TEMP L_TEMP CLOUD RAIN TEMP_Range
28 18.9 24.9 13.5 5.5 0.2 11.4
42 18.1 21.6 15.6 9.8 5.7 6.0
53 17.1 18.8 15.8 8.9 6.6 3.0
54 15.9 18.4 13.6 9.1 36.4 4.8
60 19.4 25.1 13.9 4.9 0 11.2
52 18.6 27.2 14.2 5.5 12.2 13.0
36 16.6 21.3 12.4 2.6 0 8.9
48 18.4 23.8 12.7 1.9 0 11.1
42 20.0 25.3 15.3 4.5 0.6 10.0
64 17.6 20.7 15.7 5.4 5.8 5.0
49 21.0 27.6 13.6 3.4 0 14.0
100 23.1 28.8 17.2 0.0 0 11.6
106 22.8 26.3 19.6 8.1 0.0 6.7
73 22.6 27.3 19.4 6.8 0 7.9
64 22.6 28.8 17.2 3.1 0 11.6
87 22.6 28.8 17.2 3.8 0 11.6
86 22.8 27.5 18.5 4.8 0 9.0
91 24.6 30.6 18.4 0.9 0 12.2
82 25.8 32.1 19.7 1.9 0 12.4
80 27.1 35.0 19.9 2.0 0 15.1
112 26.7 32.1 21.7 1.6 0 10.4
94 26.5 33.6 20.2 0.0 0 13.4
94 28.2 34.5 21.5 3.8 0 13.0
102 26.7 30.9 24.0 7.1 0 6.9
102 23.8 26.3 20.7 7.3 1.1 5.6
72 24.1 28.8 21.0 6.0 0 7.8
67 23.6 26.3 21.3 7.6 0.0 5.0
95 25.1 31.0 19.6 3.0 0 11.4
99 25.6 31.6 20.4 5.0 0 11.2
82 21.7 24.0 20.4 10.0 58.9 3.6
38 22.6 26.0 20.5 10.0 23.8 5.5
64 22.0 23.6 21.0 9.6 6.7 2.6
53 26.2 32.4 21.0 3.9 0 11.4
52 26.3 32.0 19.9 4.6 0 12.1
64 25.7 31.1 22.5 9.4 0.9 8.6
