DATE PM2p5 PM10
20151229 32 57
20151230 36 60
20151231 43 64
20160101 45 68
20160102 31 51
20160103 58 96
20160104 47 74
20160105 16 32
20160106 29 56
20160107 20 39
20160108 18 34
20160109 19 37
20160110 19 32
20160111 21 40
20160112 24 49
20160113 20 38
20160114 21 43
20160115 29 51
20160116 43 69
20160117 46 69
20160118 32 56
20160119 13 33
20160120 22 38
20160121 30 51
20160122 27 50
20160123 14 32
20160124 19 38
20160125 17 50
20160126 37 78
20160127 31 63
20160128 31 58
20160129 26 50
20160130 24 40
20160131 21 39
20160201 18 40
20160202 22 45
20160203 30 56
20160204 30 55
20160205 21 45
20160206 24 50
20160207 24 46
20160208 41 73
20160209 25 50
20160210 22 40
20160211 25 46
20160212 21 33
20160213 10 15
20160214 17 29
20160215 11 33
20160216 15 27
20160217 15 38
20160218 22 44
20160219 41 82
20160220 18 44
20160221 12 26
20160222 18 43
20160223 27 53
20160224 17 32
20160225 28 51
20160226 28 49
20160227 40 65
20160228 28 46
20160229 28 54
20160301 17 31
20160302 20 36
20160303 30 56
20160304 36 68
20160305 14 22
20160306 23 94
20160307 28 108
20160308 20 71
20160309 15 44
20160310 14 35
20160311 17 36
20160312 19 43
20160313 35 61
20160314 42 64
20160315 28 57
20160316 32 64
20160317 40 76
20160318 36 66
20160319 39 77
20160320 44 83
20160321 48 87
20160322 44 72
20160323 46 81
20160324 21 41
20160325 35 70
20160326 40 66
20160327 40 66
20160328 40 70
20160329 51 97
20160330 48 91
20160331 22 51
20160401 30 72
20160402 39 80
20160403 31 52
20160404 12 29
20160405 22 58
20160406 36 74
20160407 24 43
20160408 39 77
20160409 58 117
20160410 68 134
20160411 20 46
20160412 27 57
20160413 32 58
20160414 30 57
20160415 27 54
20160416 24 51
20160417 16 46
20160418 23 63
20160419 20 45
20160420 31 63
20160421 17 27
20160422 47 81
20160423 42 198
20160424 26 144
20160425 24 76
20160426 29 78
20160427 16 50
20160428 20 58
20160429 27 63
20160430 35 76
20160501 20 45
20160502 24 46
20160503 9 19
20160504 12 49
20160505 21 54
20160506 22 46
20160507 22 112
20160508 16 52
20160509 21 59
20160510 14 31
20160511 13 29
20160512 15 29
20160513 21 39
20160514 18 34
20160515 19 33
20160516 17 35
20160517 37 67
20160518 28 51
20160519 20 39
20160520 30 52
20160521 25 38
20160522 38 55
20160523 45 68
20160524 23 33
20160525 61 90
20160526 71 106
20160527 54 91
20160528 39 77
20160529 42 82
20160530 54 92
20160531 46 78
20160601 22 41
20160602 18 36
20160603 25 46
20160604 28 52
20160605 28 50
20160606 13 22
20160607 26 42
20160608 24 38
20160609 31 53
20160610 36 60
20160611 31 48
20160612 20 30
20160613 36 63
20160614 31 51
20160615 23 36
20160616 19 31
20160617 36 54
20160618 45 66
20160619 28 40
20160620 35 52
20160621 42 62
20160622 48 70
20160623 30 44
20160624 32 55
20160625 17 32
20160626 18 31
20160627 21 35
20160628 41 61
20160629 24 36
20160630 20 30
20160701 14 21
20160702 9 14
20160703 29 41
20160704 14 21
20160705 8 13
20160706 9 18
20160707 26 42
20160708 36 56
20160709 23 39
20160710 22 35
20160711 36 54
20160712 27 38
20160713 17 30
20160714 17 29
20160715 10 18
20160716 5 9
20160717 9 14
20160718 16 28
20160719 21 36
20160720 23 37
20160721 19 31
20160722 23 36
20160723 27 41
20160724 25 38
20160725 31 44
20160726 23 34
20160727 23 35
20160728 39 57
20160729 29 46
20160730 30 44
20160731 27 39
20160801 22 33
20160802 16 27
20160803 17 29
20160804 20 32
20160805 26 40
20160806 39 59
20160807 25 36
20160808 25 40
20160809 22 32
20160810 44 64
20160811 20 32
20160812 28 42
20160813 25 36
20160814 27 36
20160815 23 36
20160816 29 46
20160817 25 42
20160818 35 53
20160819 42 60
20160820 21 33
20160821 18 27
20160822 18 29
20160823 21 34
20160824 22 35
20160825 18 30
20160826 6 14
20160827 5 13
20160828 4 11
20160829 7 16
20160830 9 28
20160831 7 18
20160901 33 60
20160902 23 33
20160903 13 21
20160904 13 22
20160905 17 31
20160906 35 58
20160907 51 76
20160908 30 48
20160909 27 42
20160910 27 41
20160911 27 39
20160912 18 29
20160913 10 18
20160914 21 32
20160915 27 41
20160916 35 50
20160917 20 29
20160918 13 23
20160919 5 13
20160920 10 18
20160921 22 33
20160922 26 40
20160923 33 51
20160924 41 61
20160925 36 53
20160926 29 45
20160927 23 35
20160928 21 35
20160929 6 14
20160930 14 30
20161001 26 45
20161002 17 29
20161003 9 17
20161004 15 30
20161005 13 26
20161006 18 38
20161007 12 26
20161008 10 21
20161009 9 18
20161010 11 27
20161011 22 44
20161012 29 55
20161013 20 42
20161014 41 72
20161015 49 78
20161016 36 54
20161017 32 51
20161018 29 55
20161019 36 64
20161020 37 64
20161021 12 24
20161022 15 29
20161023 6 11
20161024 7 17
20161025 9 16
20161026 21 41
20161027 22 44
20161028 17 37
20161029 16 35
20161030 12 26
20161031 15 29
20161101 10 23
20161102 16 35
20161103 23 41
20161104 33 60
20161105 44 75
20161106 19 32
20161107 23 34
20161108 49 64
20161109 27 41
20161110 26 41
20161111 22 50
20161112 31 75
20161113 30 62
20161114 29 53
20161115 20 58
20161116 27 54
20161117 39 74
20161118 54 94
20161119 34 56
20161120 24 44
20161121 29 62
20161122 18 43
20161123 15 38
20161124 13 27
20161125 21 39
20161126 36 54
20161127 48 71
20161128 39 81
20161129 23 40
20161130 27 46
20161201 26 50
20161202 17 37
20161203 30 54
20161204 53 81
20161205 56 85
20161206 12 26
20161207 27 51
20161208 34 56
20161209 23 34
20161210 21 34
20161211 22 35
20161212 29 46
20161213 40 62
20161214 30 53
20161215 17 35
20161216 17 33
20161217 35 57
20161218 33 49
20161219 24 38
20161220 34 53
20161221 25 40
20161222 21 30
20161223 36 52
20161224 51 67
20161225 42 56
20161226 33 50
20161227 27 41
20161228 25 44
20161229 16 35
20161230 24 42
20161231 40 58
20170101 57 77
20170102 79 110
20170103 52 79
20170104 35 55
20170105 22 36
20170106 13 20
20170107 37 54
20170108 22 31
20170109 46 59
20170110 16 31
20170111 12 24
20170112 16 30
20170113 13 30
20170114 12 44
20170115 14 27
20170116 26 47
20170117 45 68
20170118 73 99
20170119 72 102
20170120 40 57
20170121 34 48
20170122 27 75
20170123 35 47
20170124 28 39
20170125 36 49
20170126 48 64
20170127 20 107
20170128 12 32
20170129 16 27
20170130 34 48
20170131 18 29
20170201 21 35
20170202 17 32
20170203 45 68
20170204 70 96
20170205 55 70
20170206 27 40
20170207 23 40
20170208 30 53
20170209 18 50
20170210 17 32
20170211 16 29
20170212 18 31
20170213 28 43
20170214 32 51
20170215 41 60
20170216 46 69
20170217 17 46
20170218 17 31
20170219 26 43
20170220 22 43
20170221 29 46
20170222 28 40
20170223 21 34
20170224 17 28
20170225 30 46
20170226 32 47
20170227 24 38
20170228 26 42
20170301 41 57
20170302 22 33
20170303 22 43
20170304 32 51
20170305 48 67
20170306 25 36
20170307 20 33
20170308 20 43
20170309 21 46
20170310 26 44
20170311 40 62
20170312 64 89
20170313 42 61
20170314 29 49
20170315 24 41
20170316 43 63
20170317 54 74
20170318 50 72
20170319 54 74
20170320 68 97
20170321 67 99
20170322 31 51
20170323 42 72
20170324 35 58
20170325 42 64
20170326 43 60
20170327 54 73
20170328 57 81
20170329 39 55
20170330 42 66
20170331 33 49
20170401 16 23
20170402 33 46
20170403 53 77
20170404 46 73
20170405 30 48
20170406 18 26
20170407 28 42
20170408 41 62
20170409 26 40
20170410 16 27
20170411 23 56
20170412 12 64
20170413 26 69
20170414 22 56
20170415 31 66
20170416 31 60
20170417 25 47
20170418 21 41
20170419 17 84
20170420 22 83
20170421 24 68
20170422 25 62
20170423 23 49
20170424 19 42
20170425 30 59
20170426 16 44
20170427 14 45
20170428 24 64
20170429 27 63
20170430 49 91
20170501 48 92
20170502 48 99
20170503 32 70
20170504 31 64
