DATE PM10 TEMP_MEAN H_TEMP L_TEMP CLOUD RAIN TEMP_Range
19970103 31 -6.8 -2.9 -9.9 0.4 0 7.0
19970104 57 -4.6 1.0 -10.0 2.8 0 11.0
19970105 40 -2.2 1.6 -6.4 8.0 0.2 8.0
19970106 57 -7.0 -5.0 -8.2 5.4 0.7 3.2
19970107 120 -5.9 -3.3 -8.7 6.0 0.4 5.4
19970108 111 -3.8 0.7 -7.6 0.0 0 8.3
19970109 104 -2.1 1.6 -6.6 2.9 0 8.2
19970110 139 -1.3 3.3 -5.1 0.4 0 8.4
19970111 151 -0.9 4.2 -5.0 0.0 0 9.2
19970112 133 0.0 4.2 -2.6 3.9 0 6.8
19970113 114 1.5 5.8 -3.5 4.4 1.9 9.3
19970114 49 -4.8 3.0 -7.3 0.6 0 10.3
19970115 62 -4.8 -0.7 -9.4 3.6 0 8.7
19970116 71 -1.3 2.8 -4.8 2.1 0 7.6
19970117 100 0.8 3.7 -2.8 6.9 0.0 6.5
19970118 43 -3.5 -0.2 -5.8 0.0 0 5.6
19970119 65 -3.1 2.2 -8.9 1.9 0 11.1
19970120 83 0.3 5.1 -3.9 4.0 0 9.0
19970121 37 -9.7 -3.9 -12.3 0.0 0 8.4
19970122 62 -8.4 -3.2 -13.7 1.5 0 10.5
19970123 100 -4.9 -1.3 -8.0 5.9 0 6.7
19970124 48 -6.3 -1.3 -9.4 0.0 0 8.1
19970125 76 -3.0 1.9 -8.5 3.6 0 10.4
19970126 121 0.9 5.9 -3.0 1.1 0 8.9
19970127 155 1.6 6.1 -3.1 4.4 0 9.2
19970128 73 -2.3 2.2 -5.7 5.0 0.0 7.9
19970129 38 -3.9 -0.2 -6.7 2.1 0.4 6.5
19970130 72 -3.6 0.6 -8.0 2.9 0 8.6
19970131 94 -3.1 -0.9 -4.9 6.5 0.9 4.0
19970201 80 -2.8 2.8 -6.5 0.6 0 9.3
19970202 77 -3.1 1.6 -5.7 0.6 0 7.3
19970203 76 -3.5 1.7 -8.1 0.0 0 9.8
19970204 109 -1.5 4.2 -6.8 4.0 0 11.0
19970205 123 0.0 4.3 -3.8 6.8 0.0 8.1
19970206 82 -1.5 0.9 -3.6 3.1 0.0 4.5
19970207 113 -1.3 3.7 -5.0 3.6 0 8.7
19970208 91 0.6 6.9 -5.3 2.6 0 12.2
19970209 112 2.3 8.8 -2.9 0.5 0 11.7
19970210 118 0.1 4.7 -3.6 4.4 0.0 8.3
19970211 46 -3.0 1.8 -6.3 1.6 0.0 8.1
19970212 49 -2.9 1.2 -6.1 0.0 0 7.3
19970213 57 -1.3 4.0 -6.2 0.0 0 10.2
19970214 78 1.6 6.7 -4.3 3.0 0 11.0
19970215 73 4.3 8.2 1.0 6.1 2.5 7.2
19970216 68 -4.0 2.0 -7.1 0.6 0 9.1
19970217 43 -2.9 1.7 -6.9 0.0 0 8.6
19970218 50 -2.2 2.1 -5.0 3.5 0.2 7.1
19970219 51 0.5 6.0 -5.2 0.0 0 11.2
19970220 73 3.7 9.0 -0.2 2.9 0 9.2
19970221 43 -0.1 3.4 -3.0 0.1 0 6.4
19970222 63 -0.1 6.3 -6.3 2.5 0 12.6
19970223 110 2.8 9.5 -3.2 0.9 0 12.7
19970224 100 6.0 12.5 -1.3 3.6 0.0 13.8
19970225 86 5.6 7.6 4.3 7.3 14.7 3.3
19970226 104 6.6 12.3 1.9 3.5 0 10.4
19970227 122 8.7 15.1 3.6 3.4 0 11.5
19970228 108 6.2 8.7 3.3 7.8 22.2 5.4
19970301 57 2.9 7.7 -0.2 1.3 0 7.9
19970302 33 0.6 4.6 -2.1 3.8 0 6.7
19970303 53 1.0 5.5 -4.3 1.6 0 9.8
19970304 84 5.1 10.1 0.9 5.5 0 9.2
19970305 114 7.6 12.2 4.2 4.3 0 8.0
19970306 102 6.6 8.0 5.4 9.3 18.1 2.6
19970307 67 6.7 11.4 3.7 2.4 0.1 7.7
19970308 88 5.9 9.8 1.9 4.8 0 7.9
